type,speciesID,scientificName,commonName,shortCode,speciesCode,active
tally-species,10531,Octocorallia,Sea Whip/Fan Unid,,58,0
tally-species,10532,Icelinus tenuis,Spotfin Sculpin,SPSC,419,
tally-species,10533,Zalembius rosaceus,Pink Surfperch,PSUR,634,
tally-species,10534,Caulolatilus princeps,Ocean Whitefish,OWFS,798,
tally-species,10535,Hypsurus caryi,Rainbow Surfperch,RASU,635,
tally-species,10538,Mammalia,Marine mammal Unid,MARU,1000,
tally-species,10540,Cancer gracilis,Graceful Crab,GRCR,44,
tally-species,10541,Allosmerus elongatus,Whitebait Smelt,WHSM,613,
tally-species,10542,Eptatretus deani,Black Hagfish,BLHA,850,
tally-species,10543,Sicyonia ingentis,Ridgeback Prawn,RIPR,851,
tally-species,10545,Apristurus kampae,Longnose Cat Shark,LCSH,852,
tally-species,10546,Hypsypops rubicundus,Garibaldi,GARI,853,
tally-species,10547,Balistes polylepis,Finescale Triggerfish,FITR,854,
tally-species,10548,Anoplogaster cornuta,Fangtooth,FANG,855,
tally-species,10549,Psychrolutes phrictus,Blob Sculpin,BLSU,856,
tally-species,10550,Kathetostoma averruncus,Smooth Stargazer,SMST,857,
tally-species,10551,Delphinus,Common Unid Dolphin,CDOL,1044,
tally-species,10552,Exocoetidae,Flying Fish Unid,FLYU,858,
tally-species,10553,Paraliparis rosaceus,Pink Snailfish,PISN,859,
tally-species,10554,Halargyreus johnsonii,Slender Codling,SLCO,860,
tally-species,10557,Pteroplatytrygon violacea,Pelagic Stingray,PEST,862,
tally-species,10558,Crangon communis,Crangon Shrimp,CRSH,863,
tally-species,10559,Opisthoteuthis californiana,Flapjack Devilfish,FLDE,864,
tally-species,10561,Pasiphaea tarda,Crimson Pasiphaeid Shrimp,CRPS,865,
tally-species,10563,Brachiopoda,Brachiopod Unid,BRAU,866,
tally-species,10564,Leiocottus hirundo,Lavender Sculpin,LVSC,867,
tally-species,10565,Lycenchelys crotalinus,Snakehead Eelpout,SNAU,868,
tally-species,10566,Batrachoididae,Midshipman [Toadfish] Unid,MIDU,869,
tally-species,10567,Scyliorhinidae,Cat Shark Unid,CATU,870,
tally-species,10568,Glyptolithodes cristatipes,Deep-sea Rock Crab,DSRC,871,
tally-species,10569,Paralomis manningi,Deep-sea Spider Crab,DSSC,872,
tally-species,10570,Cancer branneri,Furrowed Rock Crab,FRCB,873,
tally-species,10571,Carcinus maenas,Green Crab,GRCB,874,
tally-species,10572,Phyllolithodes papillosus,Heart Crab,HECR,875,
tally-species,10573,Pugettia ssp,Kelp Unid Crab,KECR,876,
tally-species,10574,Macroregonia macrochira,Long-armed Spider Crab,LASC,877,
tally-species,10575,Loxorhynchus crispatus,Masking Crab,MASU,878,
tally-species,10576,Cancer antennarius,Pacific Rock Crab,PRCR,879,
tally-species,10577,Porcellanidae,Porcelain Unid Crab,PORU,880,
tally-species,10578,Lopholithodes mandtii,Puget Sound King Crab,PSKC,881,
tally-species,10579,Randallia ornata,Purple Globe Crab,PGCR,882,
tally-species,10580,Rhinolithodes wosnessenskii,Rhinoceros Crab,RHCR,883,
tally-species,10581,Loxorhynchus grandis,Sheep Crab,SHCR,884,
tally-species,10582,Neolithodes diomedeae,Spiky King Crab,SKCR,885,
tally-species,10583,Cryptolithodes ssp,Umbrella Unid Crab,UMCR,886,
tally-species,10584,Portunus xantusii,Xantus Swimming Crab,XSCR,887,
tally-species,10585,Amphipoda,Amiphpod Unid,AMIU,1206,
tally-species,10586,Solenogastres,Solenogastres Unid,SOLU,1207,
tally-species,10587,Antipatharia,Black Coral,BLCO,1201,
tally-species,10588,Alcyonacea,Gorgonian Coral Unid,GORU,1202,
tally-species,10589,Alcyoniina,Soft Coral,SOCO,1203,
tally-species,10590,Callinectes arcuatus,Arched Swimming Crab,ASCB,888,
tally-species,10591,Scleractinia,Stony Coral,STCO,1204,
tally-species,10592,Sipuncula,Peanut Worm Unid,PEAU,1208,
tally-species,10593,Pycnogonida,Sea Spider Unid,SSPU,889,
tally-species,10594,Annelida,Worm Unid,WORM,1209,
tally-species,10595,Palinuridae,Spiny Lobster Unid,SLOB,891,
tally-species,10596,Galatheidae,Squat Lobster Unid,SQLU,890,
tally-species,10597,Stylasteridae,Hydrocoral,HYDR,1205,
tally-species,10598,Crustacea,Crustacean Unid,CRUU,892,
tally-species,10599,Zaniolepis,Combfish Unid,COMU,1210,
tally-species,10601,Puffinus,Shearwater Unid,SHEU,997,
tally-species,10602,Gymnothorax mordax,California Moray,CAMO,1212,
tally-species,10603,Halichoeres semicinctus,Rock Wrasse,ROWR,1213,
tally-species,10604,Nemichthyidae,Snipe Unid Eel,SNIU,1214,
tally-species,10605,Brosmophycis marginata,Red Brotula,REBR,1215,
tally-species,10606,Icelinus burchami,Dusky Sculpin,DUSC,1216,
tally-species,10607,Anisotremus davidsonii,Sargo,SARG,1217,
tally-species,10608,Lepidopus xantusi,Pacific Scabbardfish,PASC,1218,
tally-species,10611,Isurus oxyrinchus,Bonito [Shortfin Mako] Shark,MAKO,1219,
tally-species,10612,Notorynchus cepedianus,Sevengill Shark,SESH,1220,
tally-species,10613,Poromitra crassiceps,Crested Bigscale,CRBI,1221,
tally-species,10614,Caelorinchus scaphopsis,Shoulderspot Grenadier,SHGR,1222,
tally-species,10615,Malacocephalus laevis,Softhead Grenadier,SOGR,1223,
tally-species,10616,Nezumia stelgidolepis,California Grenadier,CAGR,1225,
tally-species,10617,Nezumia liolepis,Smooth Grenadier,SMGR,1224,
tally-species,10618,Coryphaenoides armatus,Abyssal Grenadier,ABGR,1226,
tally-species,10619,Coryphaenoides leptolepis,Ghostly Grenadier,GHGR,1227,
tally-species,10620,Coryphaenoides yaquinae,Yaquina Grenadier,YAGR,1228,
tally-species,10621,Coryphaenoides filifer,Filamented Grenadier,FIGR,1229,
tally-species,10622,Acantholithodes hispidus,Spiny Lithode Crab,SLCR,1230,
tally-species,10623,Mobula japanica,Spinetail Mobula,SPMO,1232,
tally-species,10624,Manta birostris,Manta Ray,MARA,1231,
tally-species,10625,Mobula thurstoni,Smoothtail Mobula,SMMO,1233,
tally-species,10626,Gymnura marmorata,California Butterfly Ray,CBRA,1234,
tally-species,10627,Amblyraja badia,Roughshoulder/Broad Skate,ROSK,1235,
tally-species,10628,Bathyraja parmifera,Alaska Skate,AKSK,1236,
tally-species,10629,Bathyraja aleutica,Aleutian Skate,ASKT,1237,
tally-species,10630,Bathyraja microtrachys,Fine-spined Skate,FSSK,1239,
tally-species,10631,Bathyraja interrupta,Bering Skate,BESK,1238,
tally-species,10632,Echinoidea,Irregular Echinoids,IREC,1240,
tally-species,10633,Plectobranchus evides,Bluebarred Prickleback,BLPR,1241,
tally-species,10634,Grammonus diagrammus,Purple Brotula,PUBR,1242,
tally-species,10635,Lamna ditropis,Salmon Shark,SARK,1243,
tally-species,10636,Pennatulacea,Sea Pen/Pansies Unid,,1244,0
tally-species,10637,Sebastomus,Spotted Rockfish Unid,,1245,0
tally-species,10638,Mustelus Sp.,Smoothhound Shark Unid,SSKU,1246,
tally-species,10639,Gadidae,Cod Unid,CODU,1247,
tally-species,10640,Saccopharyngidae,Whiptail Gulper Unid,WHGU,1248,
tally-species,10641,Isurus paucus,Longfin Mako Shark,LMSH,1249,
tally-species,10642,Centroscyllium nigrum,Pacific Black Dogfish,PBDO,1250,
tally-species,10643,Sula leucogaster,Brown Booby,BRBO,998,
tally-species,10644,Stomiidae,Dragonfish Unid,DRUN,1101,
tally-species,10645,Lophiiformes,Anglerfish Unid,ANGU,10645,
tally-species,10646,Melamphaidae,Bigscale Unid,BIGU,10646,
tally-species,10647,Thalassenchelys coheni,Leaf Like Eel,LEEE,1251,
tally-species,10648,Tactostoma macropus,Longfin Dragonfish,LODR,10647,
tally-species,10649,Osmerus mordax,Rainbow Smelt,RASM,1252,
tally-species,10650,Spirinchus thaleichthys,Longfin Smelt,LOSM,1253,
tally-species,10651,Pennatulacea,Sea Whips,,1254,0
tally-species,10652,Renillidae,Sea Pansies,SEPA,1255,
tally-species,10653,Pennatulacea,Sea Pens,SEPE,1256,
tally-species,10654,Scleraxonia,Spongy Gorgonians,SPGO,1257,
tally-species,10655,Holaxonia,Horny Gorgonians,HOGO,1258,
tally-species,10656,Calcaxonia,Sea Fans,,1259,0
tally-species,10657,Isididae,Bamboo Corals,BACO,1260,
